Size_of_ROIs,Mean_Value,St_Deviation,Skewness,Gradient_Mean_value,Gradient_Variance,Percentage_non_zero_Gradients,Contrast,Correlation,Entropy,Homogenity,Run_Percentage,Long_run_Emphasis,Gray_Value_Distribution,Yearly_Production
19909,111.2354212,99.9148104,0.234903087,139.2984165,12024.84737,0.868300768,46.15345961,9.99E-05,3.709182324,0.203265129,0.5005274,1.96738585,3130.051681,4867.893327
20200,109.070396,99.56439455,0.297409947,138.8217865,12019.92926,0.868267327,45.11091779,0.000100646,3.72522592,0.203336742,0.500445545,1.967059056,3169.505094,4960.037096
19349,106.8104812,99.42789574,0.359913814,136.819332,11900.74627,0.868416972,37.49701212,0.000100992,3.740920785,0.203565099,0.499922477,1.974154864,3018.016231,4754.142562
19893,105.7636857,99.28377588,0.396217502,136.6883916,11893.3684,0.868647263,35.59145431,0.000101265,3.738306368,0.20300451,0.499723521,1.977970023,3111.839956,4883.962881
20617,116.9259834,101.557055,0.071638396,141.6778094,12212.00911,0.869476645,51.10801171,9.67E-05,3.831774832,0.202931458,0.500072755,1.969059166,3217.51484,5048.027546
20172,116.0903728,101.4516885,0.095325188,141.7406428,12208.73708,0.869224668,47.35247018,9.69E-05,3.805145605,0.203330228,0.499702558,1.956646825,3154.741071,4949.447024
20110,111.3705619,100.1826793,0.228862108,139.5149593,11941.42813,0.869070114,42.882234,9.94E-05,3.790447059,0.203355901,0.499900547,1.961802447,3158.167214,4943.706655
19473,110.2471627,99.7534387,0.261330828,139.0410682,11933.71525,0.871052226,49.97999661,0.000100241,3.803855658,0.201743204,0.499152673,1.976028807,3024.481687,4759.759877
19845,113.5408415,100.649982,0.162605017,141.5340221,12156.17837,0.866465105,70.43879869,9.85E-05,3.740505052,0.204071682,0.500176367,1.955974209,3129.90268,4874.767681
19925,113.5553325,100.2150649,0.160445983,141.1826075,12119.98479,0.867452949,42.28573793,9.94E-05,3.698981554,0.203150651,0.499071518,1.976769912,3109.897023,4872.708166
20056,100.853211,99.42345537,0.539112741,136.0424716,11903.3083,0.867122058,54.76060972,0.000100882,3.791050164,0.202456075,0.500698045,1.949014141,3138.976698,4905.705039
20466,100.675022,99.11582673,0.547323893,135.7123202,11912.61446,0.868367048,39.04211599,0.000101624,3.703988185,0.203743214,0.499951138,1.973905395,3205.442338,5023.984558
19850,115.7076071,100.6992823,0.102672387,142.8814677,12223.88547,0.868816121,52.1299025,9.84E-05,3.730269667,0.203249308,0.501259446,1.964422111,3115.854673,4844.838191
20624,114.6682021,100.580585,0.131628618,142.3140453,12200.24826,0.868308766,51.36488931,9.86E-05,3.744781454,0.203977041,0.500436385,1.968704583,3246.024126,5034.65546
20393,110.2065905,100.164971,0.261972148,140.1078962,12011.98805,0.868974648,47.43947879,9.95E-05,3.80661739,0.203688189,0.5002697,1.966183101,3200.130563,5001.497942
20098,109.8185392,100.0802617,0.275475262,140.2445255,12002.64285,0.868991939,49.10289776,9.96E-05,3.821803889,0.202604488,0.499900488,1.978998706,3146.60426,4902.241565
19838,114.7390362,100.6579304,0.131595574,142.5894502,12122.06687,0.869039218,57.34223947,9.84E-05,3.7895633,0.202858836,0.499546325,1.965085772,3105.749748,4855.124117
19906,113.5593288,100.2838965,0.162962409,142.4506483,12115.92616,0.869888476,56.70142494,9.92E-05,3.762098169,0.202921816,0.500150708,1.977601446,3114.102652,4858.657895
20622,110.7986616,99.97286816,0.247058337,138.2587576,11897.65318,0.866307827,39.42521822,9.98E-05,3.75041232,0.2036917,0.500872854,1.955852454,3245.285023,5079.901346
19850,110.8594962,99.96311203,0.243576122,138.1335737,11889.99176,0.868211587,43.91402615,9.98E-05,3.746694294,0.20344612,0.50115869,1.952452754,3117.638319,4883.320667
20363,117.1450179,101.0021897,0.062639734,142.8352547,12253.99992,0.869076266,60.16150777,9.78E-05,3.781016145,0.202363164,0.499779011,1.982313059,3182.98133,5001.192395
20082,117.9635992,101.2844137,0.042390193,142.7670691,12245.25163,0.868987153,58.73500438,9.72E-05,3.751590438,0.203341033,0.500099592,1.966743005,3167.523549,4931.500647
19605,113.3344555,100.6812781,0.173266386,142.8454861,12117.82708,0.867890844,39.84825187,9.84E-05,3.783303456,0.203805987,0.500637592,1.963117677,3081.250841,4825.687927
20086,113.6611072,100.8540098,0.164350733,142.485931,12107.5186,0.868067311,42.4389977,9.81E-05,3.805526164,0.20331011,0.501443792,1.951350278,3152.990469,4904.304805
20439,115.4683204,100.5944552,0.107635204,142.8159884,12265.23468,0.868095308,47.38230554,9.86E-05,3.705670261,0.20320256,0.499094868,1.961964513,3207.272326,4994.996471
19870,116.9174635,100.8280665,0.066175818,142.7696924,12276.40287,0.868444892,33.78167026,9.82E-05,3.665656174,0.202815995,0.500100654,1.976351011,3113.796417,4870.612358
19921,103.9715376,98.98886516,0.447677578,136.0082507,11835.80599,0.869333869,46.26014017,0.000101829,3.687096853,0.203711631,0.498719944,1.995873176,3112.542828,4859.992652
19595,103.3386578,99.15029186,0.470211692,135.915346,11898.90404,0.867976525,37.80226877,0.000101531,3.70726929,0.203454936,0.500739985,1.971157766,3072.36119,4796.579902
19640,114.3322811,100.475567,0.142727502,142.2654501,12271.6911,0.868075356,40.2999888,9.88E-05,3.73467466,0.203284036,0.500916497,1.971335637,3075.180321,4812.863184
20332,112.7238343,100.2051838,0.190512734,142.0407988,12210.60367,0.867597875,36.3936153,9.94E-05,3.716208335,0.203216034,0.500098367,1.973052714,3191.656373,4996.674666
19857,103.6898827,100.2165299,0.44237608,137.2228919,11899.17919,0.870977489,58.83409934,9.93E-05,3.830359204,0.202943281,0.500428061,1.969407266,3099.462916,4867.878334
20416,104.445288,100.3210157,0.42013489,136.8649444,11897.85363,0.867554859,46.76602925,9.91E-05,3.813278907,0.203302211,0.50083268,1.962933985,3205.945134,4994.7778
19714,115.1962565,100.9122318,0.122493739,143.1727648,12211.19005,0.868266207,43.04196897,9.80E-05,3.792603389,0.202664372,0.500913057,1.955037975,3094.420557,4847.172557
20413,115.067359,100.8300584,0.123541974,143.5858894,12276.60418,0.870327732,50.71191091,9.82E-05,3.806984166,0.203056953,0.500073483,1.964929467,3201.658895,5003.358346
19609,98.305013,100.1934376,0.592852877,135.826896,11922.17298,0.869702688,46.85230907,9.94E-05,3.806638742,0.202874235,0.50033148,1.959739068,3064.84446,4831.814596
19918,95.88507882,100.3837478,0.652087514,135.3528845,11884.97653,0.869063159,48.17321497,9.89E-05,3.793921034,0.203467347,0.500150618,1.959345513,3118.842803,4876.621361
19604,109.6706284,99.63460465,0.279506208,141.3804991,12016.1057,0.869618445,47.3041648,0.000100507,3.74391541,0.202941373,0.50071414,1.963121434,3072.125713,4808.665648
20093,109.9723287,99.75333869,0.27122011,140.8813008,12029.2915,0.866222067,41.98742138,0.000100304,3.739446889,0.203602463,0.501368636,1.959301171,3159.904705,4922.468533
19864,105.4887737,99.86800015,0.400364298,136.3295261,12213.38933,0.868455497,43.80324711,0.000100063,3.787861236,0.202627457,0.5,1.971606927,3105.416633,4853.452275
19609,107.5772349,99.47949228,0.3422285,137.3383811,11928.84118,0.867050844,30.20268223,0.000100847,3.67358211,0.204225533,0.500943444,1.96986664,3084.513998,4818.179884
20335,107.2768626,99.61260145,0.352543739,138.4449613,12062.62158,0.867174822,34.73514798,0.00010062,3.754937886,0.202944826,0.500221293,1.978077074,3197.794534,4963.355879
20680,108.018472,99.60755406,0.329375595,138.478961,12021.83981,0.867794971,44.79924644,0.000100572,3.762150344,0.203302762,0.499806576,1.976006192,3244.178019,5044.653251
19845,110.8419753,100.0257693,0.241260867,138.2779456,11909.36488,0.869337365,35.23361223,9.98E-05,3.743672412,0.203646504,0.500277148,1.960616438,3102.844279,4876.256849
20339,110.1425832,99.81732122,0.263568118,137.9547279,11883.94644,0.867053444,31.88137149,0.000100221,3.729241943,0.203310926,0.499827917,1.975604958,3182.237852,4969.576825
19930,105.1321626,99.41129182,0.414417,138.4236102,11993.07663,0.868088309,42.56595134,0.000100993,3.760355941,0.203430834,0.500050176,1.976720851,3125.177604,4883.96187
19637,103.9016143,100.3504234,0.435020509,139.9361093,12240.90413,0.867036716,36.6101429,9.92E-05,3.811483014,0.203165699,0.500076386,1.96395112,3078.698574,4801.960081
19845,110.2551272,100.1768763,0.260669319,139.1567287,12003.68473,0.869035021,49.60159583,9.94E-05,3.810672756,0.203218016,0.499874024,1.961391129,3103.27621,4890.025202
19857,110.6480334,100.4844663,0.251450441,139.1344447,12028.48339,0.868761646,36.83238275,9.88E-05,3.818821315,0.201586517,0.50027698,1.961948862,3099.118583,4849.23334
19857,106.6936093,99.59476614,0.368188644,137.8963222,12031.97154,0.868459485,38.3578825,0.000100598,3.739532507,0.204105465,0.501183462,1.963926849,3125.118569,4850.484325
19858,107.0863128,99.46382118,0.355631396,137.9125121,12040.05796,0.868516467,46.27900415,0.000100871,3.767604127,0.202610338,0.499899285,1.97259998,3104.101642,4868.157248
19857,106.2967216,99.49120456,0.375031116,136.4698171,11852.58913,0.868560205,36.99878177,0.000100836,3.765869234,0.203617533,0.49977338,1.984784361,3098.316808,4856.881701
